Timeindryer,Dissolutiontime
59,612.75
32,309.17
38,407.29
59,576.47
63,509.9
30,298.61
67,685.48
38,496.63
40,357.26
56,553.16
58,485.92
36,372.25
43,405
26,263.81
35,309.85
24,349.44
31,492.81
26,379.49
61,607.68
23,92.52
48,462.74
23,356.19
44,452.6
50,551.48
56,573.86
36,380.91
22,306.19
54,332.01
26,258.94
70,573.4
59,409.64
69,628.51
38,380.35
68,622.62
50,441.01
69,736.09
45,410.73
27,311.48
31,333.41
20,103.65
43,407.35
23,202.52
20,153.63
51,468.85
28,377.17
24,192.78
50,508.05
33,305.79
53,397.19
48,484.76
,
