Amount of sunlight (thousands of Lux),"Li-ion type (polymer = 0, standard = 1)",Distance Traveled with One Charge (km)
Sunlight,BatteryType,Distance  
31,Type0,306.96
44,Type0,307.34
37,Type0,270.4
36,Type0,249.94
23,Type0,138.83
39,Type0,327.31
27,Type0,327.62
51,Type1,389.89
69,Type0,528.2
35,Type1,330.9
21,Type0,201.44
23,Type1,276.95
35,Type0,351.33
50,Type0,477.87
45,Type0,283.36
31,Type1,356.84
40,Type0,507.58
57,Type1,490.81
70,Type0,451.64
57,Type0,334.79
57,Type1,432.4
46,Type0,388.11
44,Type1,377.77
52,Type0,456.99
40,Type0,287.54
63,Type0,451.19
46,Type1,503.29
43,Type0,364.63
41,Type1,307.8
44,Type1,361.27
27,Type1,476.5
39,Type0,367.87
48,Type0,277.1
40,Type1,393.3
63,Type1,467.7
66,Type1,531.2
44,Type0,419.82
55,Type0,398.74
63,Type1,505.63
64,Type0,524.85
63,Type0,430.1
53,Type0,303.3
57,Type0,497.27
60,Type1,458.09
23,Type1,262.68
47,Type0,437.32
49,Type1,400.84
32,Type1,276.54
51,Type1,448.17
25,Type0,233.35
48,Type0,317.14
46,Type1,504.94
55,Type1,398.94
21,Type0,115.83
45,Type0,363.66
22,Type1,276.98
43,Type0,281.46
50,Type1,517.48
23,Type1,271.06
61,Type1,494.81
33,Type0,307.58
56,Type1,469.76
34,Type1,274.72
31,Type1,362.27
63,Type1,443.73
,,
