DB_ID,SKU,Store,Date,Unit Sales,Dollar Sales
79444,50012011250,312,04/08/2014,3,29.97
79445,50012011250,312,05/08/2014,2,19.98
79446,50012011250,312,06/08/2014,5,49.95
79447,50012011250,312,07/08/2014,3,29.97
79448,50012011250,312,08/08/2014,7,69.93
79449,50012011250,312,09/08/2014,4,39.96
79450,50012011250,312,11/08/2014,4,39.96
79451,50012011250,312,12/08/2014,4,39.96
79452,50012011250,312,13/08/2014,1,9.99
79453,50012011250,312,14/08/2014,3,29.97
79454,50012011250,312,15/08/2014,4,39.96
79455,50012011250,312,16/08/2014,1,9.99
79456,50012011250,312,18/08/2014,2,19.98
79457,50012011250,312,19/08/2014,6,59.94
79458,50012011250,312,20/08/2014,5,49.95
79459,50012011250,312,21/08/2014,2,19.98
79460,50012011250,312,22/08/2014,,
79461,50012011250,312,23/08/2014,2,19.98
79462,50012011250,312,25/08/2014,5,49.95
79463,50012011250,312,26/08/2014,3,29.97
79464,50012011250,312,27/08/2014,5,49.95
79465,50012011250,312,28/08/2014,30000,299700
79466,50012011250,312,29/08/2014,4,39.96
79467,50012011250,312,30/08/2014,1,9.99
79468,50012011250,312,01/09/2014,3,29.97
79469,50012011250,312,02/09/2014,1,9.99
79470,50012011250,312,03/09/2014,-A45%0 9,
79471,50012011250,312,04/09/2014,2,19.98
79472,50012011250,312,05/09/2014,4,39.96
79473,50012011250,312,06/09/2014,2,19.98
79474,50012011250,312,08/09/2014,4,39.96
79475,50012011250,312,09/09/2014,7,69.93
79476,50012011250,312,10/09/2014,6,59.94
79477,50012011250,312,11/09/2014,3,29.97
79478,50012011250,312,12/09/2014,5,49.95
79479,50012011250,312,13/09/2014,2,19.98
79480,50012011250,312,15/09/2014,7,69.93
79481,50012011250,312,16/09/2014,6,59.94
79482,50012011250,312,19/09/2014,3,29.97
79483,50012011250,312,20/09/2014,2,19.98
79484,50012011250,312,22/09/2014,6,59.94
79485,50012011250,312,23/09/2014,5,49.95
79486,50012011250,312,24/09/2014,6,59.94
79487,50012011250,312,25/09/2014,7,69.93
79488,50012011250,312,26/09/2014,3,29.97
79489,50012011250,312,27/09/2014,11,109.89
79490,50012011250,312,29/09/2014,3,29.97
79491,50012011250,312,30/09/2014,4,39.96
79492,50012011250,312,01/10/2014,2,19.98
79493,50012011250,312,02/10/2014,,
79494,50012011250,312,03/10/2014,2,19.98
79495,50012011250,312,04/10/2014,4,39.96
79496,50012011250,312,06/10/2014,2,19.98
79497,50012011250,312,07/10/2014,4,39.96
79498,50012011250,312,08/10/2014,7,69.93
79499,50012011250,312,09/10/2014,,
79500,50012011250,312,10/10/2014,2,19.98
79501,50012011250,312,11/10/2014,4,39.96
79502,50012011250,312,13/10/2014,-A45%0 2,
79503,50012011250,312,14/10/2014,4,39.96
